index,Model Number,Adj Model Number,imageURL,specURL,CadURL,RvtURL
0,CONNECT-BDG2-1,CONNECT-BDG2-1,http://www.lutron.com/en-US/ProductBaseModelImages/L-BDG2.png,http://www.lutron.com/TechnicalDocumentLibrary/369975_ENG.pdf,,
1,CSPS-P1-10-6,CSPS-P1-10-6,,http://www.lutron.com/TechnicalDocumentLibrary/045560.pdf,,
2,CUSTOM SEETOUCH BTN,CUSTOM SEETOUCH BTN,,,,
3,CW-1,CW-1,http://www.lutron.com/en-US/ProductBaseModelImages/CW-1.png,http://www.lutron.com/TechnicalDocumentLibrary/specSubmittal_Diva.pdf,,
4,CW-1,CW-1,http://www.lutron.com/en-US/ProductBaseModelImages/CW-1.png,http://www.lutron.com/TechnicalDocumentLibrary/specSubmittal_Diva.pdf,,
5,CW-2,CW-2,http://www.lutron.com/en-US/ProductBaseModelImages/CW-2.png,http://www.lutron.com/TechnicalDocumentLibrary/specSubmittal_Diva.pdf,,
6,CW-3,CW-3,http://www.lutron.com/en-US/ProductBaseModelImages/CW-3.png,http://www.lutron.com/TechnicalDocumentLibrary/specSubmittal_Diva.pdf,,
7,CW-4,CW-4,http://www.lutron.com/en-US/ProductBaseModelImages/CW-4.png,http://www.lutron.com/TechnicalDocumentLibrary/specSubmittal_Diva.pdf,,
8,CW-5,CW-5,http://www.lutron.com/en-US/ProductBaseModelImages/CW-5.png,http://www.lutron.com/TechnicalDocumentLibrary/specSubmittal_Diva.pdf,,
9,CW-6,CW-6,http://www.lutron.com/en-US/ProductBaseModelImages/CW-6.png,http://www.lutron.com/TechnicalDocumentLibrary/specSubmittal_Diva.pdf,,
10,ENGRAVING ALLOWANCE,ENGRAVING ALLOWANCE,,,,
11,GRX-IRPS,GRX-IRPS,http://www.lutron.com/en-US/ProductParentGroupImages/GrafikEyeQSComp.jpg,http://www.lutron.com/TechnicalDocumentLibrary/irps.pdf,http://www.lutron.com/TechnicalDocumentLibrary/GRX_Wallstations_and_Inferfaces.dwg,
12,GRX-PWM,GRX-PWM,http://www.lutron.com/en-US/ProductBaseModelImages/GRX-PWM.png,http://www.lutron.com/TechnicalDocumentLibrary/031267_ENG.pdf,,
13,GRX-RS232,GRX-RS232,,,,
14,GRX-TVI,GRX-TVI,http://www.lutron.com/en-US/ProductBaseModelImages/GRX-TVI.png,http://www.lutron.com/TechnicalDocumentLibrary/grx-tvi.pdf,http://www.lutron.com/TechnicalDocumentLibrary/Power_Modules.dwg,
15,GRX-TVM2,GRX-TVM2,http://www.lutron.com/en-US/ProductBaseModelImages/GRX-TVM2.png,http://www.lutron.com/TechnicalDocumentLibrary/369663_ENG.pdf,,
16,H4P5-120,H4P5-120,,,,
17,H4P5-H48-120,H4P5-H48-120,,,,
18,H8P5-120,H8P5-120,,,,
19,H8P5-MI-120,H8P5-MI-120,,,,
20,HD-RS,HD-RS,http://www.lutron.com/en-US/ProductBaseModelImages/HD-RS.png,http://www.lutron.com/TechnicalDocumentLibrary/043-134A - Maestro Remotes.pdf,,
21,HP-2,HP-2,http://www.lutron.com/ProductParentGroupImages/HWQSFamily.png,http://www.lutron.com/TechnicalDocumentLibrary/hp246.pdf,,
22,HP-4,HP-4,http://www.lutron.com/ProductParentGroupImages/HWQSFamily.png,http://www.lutron.com/TechnicalDocumentLibrary/hp246.pdf,,
23,HP-6,HP-6,http://www.lutron.com/ProductParentGroupImages/HWQSFamily.png,http://www.lutron.com/TechnicalDocumentLibrary/hp246.pdf,,
24,HQ2-CONNECT1-PKG,HQ2-CONNECT1-PKG,,,,
25,HQA-RD,HQA-RD,http://www.lutron.com/ProductParentGroupImages/HWQSFamily.png,http://www.lutron.com/TechnicalDocumentLibrary/369694_ENG.pdf,http://www.lutron.com/TechnicalDocumentLibrary/Homeworks_QS.dwg,
26,HQA-RS,HQA-RS,http://www.lutron.com/en-US/ProductBaseModelImages/HD-RS.png,http://www.lutron.com/TechnicalDocumentLibrary/369694_ENG.pdf,http://www.lutron.com/TechnicalDocumentLibrary/Homeworks_QS.dwg,
27,HQD-RD,HQD-RD,http://www.lutron.com/ProductParentGroupImages/HWQSFamily.png,http://www.lutron.com/TechnicalDocumentLibrary/369305_ENG.pdf,http://www.lutron.com/TechnicalDocumentLibrary/Homeworks_QS.dwg,
28,HQD-RD,HQD-RD,http://www.lutron.com/ProductParentGroupImages/HWQSFamily.png,http://www.lutron.com/TechnicalDocumentLibrary/369305_ENG.pdf,http://www.lutron.com/TechnicalDocumentLibrary/Homeworks_QS.dwg,
29,HQD-RS,HQD-RS,http://www.lutron.com/en-US/ProductBaseModelImages/HD-RS.png,http://www.lutron.com/TechnicalDocumentLibrary/369305_ENG.pdf,http://www.lutron.com/TechnicalDocumentLibrary/Homeworks_QS.dwg,
30,HQ-HWI-KP,HQ-HWI-KP,,,,
31,HQ-HWI-LX,HQ-HWI-LX,http://www.lutron.com/ProductParentGroupImages/HWQSFamily.png,http://www.lutron.com/TechnicalDocumentLibrary/043451.pdf,,
32,HQ-LV21-120,HQ-LV21-120,http://www.lutron.com/ProductParentGroupImages/HWQSFamily.png,http://www.lutron.com/TechnicalDocumentLibrary/369-381b_ENG.pdf,,
33,HQP6-1,HQP6-1,http://www.lutron.com/ProductParentGroupImages/HWQSFamily.png,http://www.lutron.com/TechnicalDocumentLibrary/3691015_ENG.pdf,,
34,HQP6-2-120,HQP6-2-120,,,,
35,HQR-3LD,HQR-3LD,http://www.lutron.com/en-US/ProductBaseModelImages/HQR-3LD.png,http://www.lutron.com/TechnicalDocumentLibrary/HWQS_RF_Lamp_Dimmer_043367A.pdf,http://www.lutron.com/TechnicalDocumentLibrary/Homeworks_QS.dwg,
36,HQR-3PD-1,HQR-3PD-1,http://www.lutron.com/en-US/ProductBaseModelImages/HQR-3PD-1.png,http://www.lutron.com/TechnicalDocumentLibrary/HWQS_RF_Plug-In_Modules_043366A.pdf,http://www.lutron.com/TechnicalDocumentLibrary/Homeworks_QS.dwg,
37,HQR-3PD-1,HQR-3PD-1,http://www.lutron.com/en-US/ProductBaseModelImages/HQR-3PD-1.png,http://www.lutron.com/TechnicalDocumentLibrary/HWQS_RF_Plug-In_Modules_043366A.pdf,http://www.lutron.com/TechnicalDocumentLibrary/Homeworks_QS.dwg,
38,HQRA-10D,HQRA-10D,http://www.lutron.com/ProductParentGroupImages/HWQSFamily.png,http://www.lutron.com/TechnicalDocumentLibrary/369694_ENG.pdf,http://www.lutron.com/TechnicalDocumentLibrary/Homeworks_QS.dwg,
39,HQRA-2ANF,HQRA-2ANF,http://www.lutron.com/en-US/ProductBaseModelImages/RRD-2ANF.PNG,http://www.lutron.com/TechnicalDocumentLibrary/369694_ENG.pdf,http://www.lutron.com/TechnicalDocumentLibrary/Homeworks_QS.dwg,
40,HQRA-6CL,HQRA-6CL,http://www.lutron.com/ProductParentGroupImages/HWQSFamily.png,http://www.lutron.com/TechnicalDocumentLibrary/369694_ENG.pdf,http://www.lutron.com/TechnicalDocumentLibrary/Homeworks_QS.dwg,
41,HQRA-6NA,HQRA-6NA,http://www.lutron.com/ProductParentGroupImages/HWQSFamily.png,http://www.lutron.com/TechnicalDocumentLibrary/369694_ENG.pdf,http://www.lutron.com/TechnicalDocumentLibrary/Homeworks_QS.dwg,
42,HQRA-6ND,HQRA-6ND,http://www.lutron.com/ProductParentGroupImages/HWQSFamily.png,http://www.lutron.com/TechnicalDocumentLibrary/369694_ENG.pdf,,
43,HQRA-6NE,HQRA-6NE,,,,
44,HQRA-8ANS,HQRA-8ANS,http://www.lutron.com/ProductParentGroupImages/HWQSFamily.png,http://www.lutron.com/TechnicalDocumentLibrary/369694_ENG.pdf,http://www.lutron.com/TechnicalDocumentLibrary/Homeworks_QS.dwg,
45,HQRA-8S,HQRA-8S,,,,
46,HQRA-H3BSRL,HQRA-H3BSRL,http://www.lutron.com/ProductParentGroupImages/HWQSFamily.png,http://www.lutron.com/TechnicalDocumentLibrary/369699_ENG.pdf,http://www.lutron.com/TechnicalDocumentLibrary/Homeworks_QS.dwg,
47,HQRA-H5BRL,HQRA-H5BRL,http://www.lutron.com/ProductParentGroupImages/HWQSFamily.png,http://www.lutron.com/TechnicalDocumentLibrary/369699_ENG.pdf,http://www.lutron.com/TechnicalDocumentLibrary/Homeworks_QS.dwg,
48,HQRA-H6BRL,HQRA-H6BRL,http://www.lutron.com/ProductParentGroupImages/HWQSFamily.png,http://www.lutron.com/TechnicalDocumentLibrary/369699_ENG.pdf,http://www.lutron.com/TechnicalDocumentLibrary/Homeworks_QS.dwg,
49,HQRA-W5BRL,HQRA-W5BRL,http://www.lutron.com/ProductParentGroupImages/HWQSFamily.png,http://www.lutron.com/TechnicalDocumentLibrary/369698_ENG.pdf,,
50,HQRA-W6BRL,HQRA-W6BRL,http://www.lutron.com/ProductParentGroupImages/HWQSFamily.png,http://www.lutron.com/TechnicalDocumentLibrary/369698_ENG.pdf,,
51,HQRD-10D,HQRD-10D,http://www.lutron.com/en-US/ProductBaseModelImages/RR6ND-BL.PNG,http://www.lutron.com/TechnicalDocumentLibrary/HWQS_Designer-Style_RF_Maestro_043353a.pdf,http://www.lutron.com/TechnicalDocumentLibrary/Homeworks_QS.dwg,
52,HQRD-10D,HQRD-10D,http://www.lutron.com/en-US/ProductBaseModelImages/RR6ND-BL.PNG,http://www.lutron.com/TechnicalDocumentLibrary/HWQS_Designer-Style_RF_Maestro_043353a.pdf,http://www.lutron.com/TechnicalDocumentLibrary/Homeworks_QS.dwg,
53,HQRD-10ND,HQRD-10ND,http://www.lutron.com/en-US/ProductBaseModelImages/RR6ND-BL.PNG,http://www.lutron.com/TechnicalDocumentLibrary/HWQS_Designer-Style_RF_Maestro_043353a.pdf,http://www.lutron.com/TechnicalDocumentLibrary/Homeworks_QS.dwg,
54,HQRD-2ANF,HQRD-2ANF,http://www.lutron.com/en-US/ProductBaseModelImages/RRD-2ANF.PNG,http://www.lutron.com/TechnicalDocumentLibrary/369305_ENG.pdf,,
55,HQRD-5BRL,HQRD-5BRL,,,,
56,HQRD-6CL,HQRD-6CL,http://www.lutron.com/en-US/ProductBaseModelImages/RR6ND-BL.PNG,http://www.lutron.com/TechnicalDocumentLibrary/369305_ENG.pdf,http://www.lutron.com/TechnicalDocumentLibrary/Homeworks_QS.dwg,
57,HQRD-6CL,HQRD-6CL,http://www.lutron.com/en-US/ProductBaseModelImages/RR6ND-BL.PNG,http://www.lutron.com/TechnicalDocumentLibrary/369305_ENG.pdf,http://www.lutron.com/TechnicalDocumentLibrary/Homeworks_QS.dwg,
58,HQRD-6D,HQRD-6D,http://www.lutron.com/en-US/ProductBaseModelImages/RR6ND-BL.PNG,http://www.lutron.com/TechnicalDocumentLibrary/369305_ENG.pdf,,
59,HQRD-6NA,HQRD-6NA,http://www.lutron.com/en-US/ProductBaseModelImages/RR6ND-BL.PNG,http://www.lutron.com/TechnicalDocumentLibrary/HWQS_Designer-Style_RF_Maestro_043353a.pdf,http://www.lutron.com/TechnicalDocumentLibrary/Homeworks_QS.dwg,
60,HQRD-6ND,HQRD-6ND,http://www.lutron.com/en-US/ProductBaseModelImages/RR6ND-BL.PNG,http://www.lutron.com/TechnicalDocumentLibrary/HWQS_Designer-Style_RF_Maestro_043353a.pdf,http://www.lutron.com/TechnicalDocumentLibrary/Homeworks_QS.dwg,
61,HQRD-6NE,HQRD-6NE,,,,
62,HQRD-8ANS,HQRD-8ANS,http://www.lutron.com/en-US/ProductBaseModelImages/RRD-8ANS.PNG,http://www.lutron.com/TechnicalDocumentLibrary/HWQS_Designer-Style_RF_Maestro_043353a.pdf,,
63,HQRD-8ANS,HQRD-8ANS,http://www.lutron.com/en-US/ProductBaseModelImages/RRD-8ANS.PNG,http://www.lutron.com/TechnicalDocumentLibrary/HWQS_Designer-Style_RF_Maestro_043353a.pdf,,
64,HQRD-8S-DV,HQRD-8S-DV,http://www.lutron.com/en-US/ProductBaseModelImages/RRD-8ANS.PNG,http://www.lutron.com/TechnicalDocumentLibrary/369305_ENG.pdf,http://www.lutron.com/TechnicalDocumentLibrary/Homeworks_QS.dwg,
65,HQRD-F6AN-DV,HQRD-F6AN-DV,http://www.lutron.com/en-US/ProductBaseModelImages/RR6ND-BL.PNG,http://www.lutron.com/TechnicalDocumentLibrary/369305_ENG.pdf,http://www.lutron.com/TechnicalDocumentLibrary/Homeworks_QS.dwg,
66,HQRD-H3BSRL,HQRD-H3BSRL,http://www.lutron.com/ProductParentGroupImages/HWQSFamily.png,http://www.lutron.com/TechnicalDocumentLibrary/369303_ENG.pdf,http://www.lutron.com/TechnicalDocumentLibrary/Homeworks_QS.dwg,
67,HQRD-H4S,HQRD-H4S,http://www.lutron.com/ProductParentGroupImages/HWQSFamily.png,http://www.lutron.com/TechnicalDocumentLibrary/369303_ENG.pdf,http://www.lutron.com/TechnicalDocumentLibrary/Homeworks_QS.dwg,
68,HQRD-H5BRL,HQRD-H5BRL,http://www.lutron.com/ProductParentGroupImages/HWQSFamily.png,http://www.lutron.com/TechnicalDocumentLibrary/369303_ENG.pdf,http://www.lutron.com/TechnicalDocumentLibrary/Homeworks_QS.dwg,
69,HQRD-H6BRL,HQRD-H6BRL,http://www.lutron.com/ProductParentGroupImages/HWQSFamily.png,http://www.lutron.com/TechnicalDocumentLibrary/HWQS_Designer-style_Hybrid_Keypad_043356a.pdf,http://www.lutron.com/TechnicalDocumentLibrary/Homeworks_QS.dwg,
70,HQRD-W2BS,HQRD-W2BS,http://www.lutron.com/ProductParentGroupImages/HWQSFamily.png,http://www.lutron.com/TechnicalDocumentLibrary/HWQS_RF_Keypads_043361a.pdf,http://www.lutron.com/TechnicalDocumentLibrary/Homeworks_QS.dwg,
71,HQRD-W3BS,HQRD-W3BS,http://www.lutron.com/ProductParentGroupImages/HWQSFamily.png,http://www.lutron.com/TechnicalDocumentLibrary/HWQS_RF_Keypads_043361a.pdf,http://www.lutron.com/TechnicalDocumentLibrary/Homeworks_QS.dwg,
72,HQRD-W6BRL,HQRD-W6BRL,http://www.lutron.com/ProductParentGroupImages/HWQSFamily.png,http://www.lutron.com/TechnicalDocumentLibrary/HWQS_RF_Keypads_043361a.pdf,http://www.lutron.com/TechnicalDocumentLibrary/Homeworks_QS.dwg,
73,HQRD-W7B,HQRD-W7B,http://www.lutron.com/ProductParentGroupImages/HWQSFamily.png,http://www.lutron.com/TechnicalDocumentLibrary/HWQS_RF_Keypads_043361a.pdf,http://www.lutron.com/TechnicalDocumentLibrary/Homeworks_QS.dwg,
74,HQRJ-WPM-6D-120,HQRJ-WPM-6D-120,http://www.lutron.com/en-US/ProductBaseModelImages/HQRJ-WPM-6D-120.png,http://www.lutron.com/TechnicalDocumentLibrary/369-360 HWQS WPM.pdf,,
75,HQR-REP-120,HQR-REP-120,http://www.lutron.com/en-US/ProductBaseModelImages/HQR-REP-120.png,http://www.lutron.com/TechnicalDocumentLibrary/043-399a.pdf,http://www.lutron.com/TechnicalDocumentLibrary/Homeworks_QS.dwg,
76,HQR-T10CRL,HQR-T10CRL,http://www.lutron.com/ProductParentGroupImages/HWQSFamily.png,http://www.lutron.com/TechnicalDocumentLibrary/369349A.pdf,http://www.lutron.com/TechnicalDocumentLibrary/Homeworks_QS.dwg,
77,HQR-T10RL,HQR-T10RL,http://www.lutron.com/ProductParentGroupImages/HWQSFamily.png,http://www.lutron.com/TechnicalDocumentLibrary/369349A.pdf,http://www.lutron.com/TechnicalDocumentLibrary/Homeworks_QS.dwg,
78,HQR-T15CRL,HQR-T15CRL,http://www.lutron.com/ProductParentGroupImages/HWQSFamily.png,http://www.lutron.com/TechnicalDocumentLibrary/369349A.pdf,http://www.lutron.com/TechnicalDocumentLibrary/Homeworks_QS.dwg,
79,HQR-T15RL,HQR-T15RL,http://www.lutron.com/ProductParentGroupImages/HWQSFamily.png,http://www.lutron.com/TechnicalDocumentLibrary/369349A.pdf,http://www.lutron.com/TechnicalDocumentLibrary/Homeworks_QS.dwg,
80,HQR-T5CRL,HQR-T5CRL,http://www.lutron.com/ProductParentGroupImages/HWQSFamily.png,http://www.lutron.com/TechnicalDocumentLibrary/369349A.pdf,http://www.lutron.com/TechnicalDocumentLibrary/Homeworks_QS.dwg,
81,HQR-T5RL,HQR-T5RL,http://www.lutron.com/ProductParentGroupImages/HWQSFamily.png,http://www.lutron.com/TechnicalDocumentLibrary/369349A.pdf,http://www.lutron.com/TechnicalDocumentLibrary/Homeworks_QS.dwg,
82,HQR-T5RL,HQR-T5RL,http://www.lutron.com/ProductParentGroupImages/HWQSFamily.png,http://www.lutron.com/TechnicalDocumentLibrary/369349A.pdf,http://www.lutron.com/TechnicalDocumentLibrary/Homeworks_QS.dwg,
